calendarDate,maxHeartRate,minHeartRate,restingHeartRate,lastSevenDaysAvgRestingHeartRate
2019-08-31,170.0,46.0,62.0,63.0
2019-09-01,165.0,58.0,61.0,62.0
2019-09-02,126.0,45.0,58.0,61.0
2019-09-03,143.0,48.0,57.0,60.0
2019-09-04,167.0,50.0,58.0,60.0
2019-09-05,127.0,47.0,54.0,59.0
2019-09-06,116.0,47.0,51.0,57.0
2019-09-07,132.0,40.0,58.0,56.0
2019-09-08,188.0,47.0,55.0,55.0
2019-09-09,125.0,50.0,57.0,55.0
2019-09-10,166.0,49.0,60.0,56.0
2019-09-11,133.0,50.0,57.0,56.0
2019-09-12,165.0,51.0,61.0,57.0
2019-09-13,104.0,46.0,57.0,57.0
2019-09-14,121.0,52.0,58.0,57.0
2019-09-15,102.0,56.0,60.0,58.0
2019-09-16,166.0,51.0,61.0,59.0
2019-09-17,111.0,50.0,56.0,58.0
2019-09-18,120.0,49.0,53.0,58.0
2019-09-19,165.0,55.0,62.0,58.0
2019-09-20,134.0,48.0,58.0,58.0
2019-09-21,159.0,45.0,47.0,56.0
2019-09-22,167.0,56.0,61.0,56.0
2019-09-23,115.0,47.0,51.0,55.0
2019-09-24,138.0,50.0,55.0,55.0
2019-09-25,161.0,51.0,57.0,55.0
2019-09-26,125.0,47.0,50.0,54.0
2019-09-27,119.0,47.0,57.0,54.0
2019-09-28,180.0,53.0,58.0,55.0
2019-09-29,108.0,51.0,56.0,54.0
2019-09-30,131.0,44.0,51.0,54.0
2019-10-01,115.0,45.0,50.0,54.0
2019-10-02,117.0,40.0,59.0,54.0
2019-10-03,158.0,45.0,57.0,55.0
2019-10-04,110.0,43.0,54.0,55.0
2019-10-05,170.0,49.0,61.0,55.0
2019-10-06,141.0,60.0,60.0,56.0
2019-10-07,119.0,38.0,54.0,56.0
2019-10-08,186.0,53.0,60.0,57.0
2019-10-09,123.0,49.0,55.0,57.0
2019-10-10,130.0,52.0,58.0,57.0
2019-10-11,171.0,53.0,58.0,58.0
2019-10-12,137.0,45.0,56.0,57.0
2019-10-13,110.0,50.0,55.0,56.0
2019-10-14,169.0,52.0,57.0,57.0
2019-10-15,183.0,51.0,60.0,57.0
2019-10-16,137.0,52.0,62.0,58.0
2019-10-17,134.0,54.0,65.0,59.0
2019-10-18,116.0,48.0,56.0,58.0
2019-10-19,123.0,54.0,59.0,59.0
2019-10-20,130.0,49.0,53.0,58.0
2019-10-21,119.0,46.0,52.0,58.0
2019-10-22,162.0,44.0,49.0,56.0
2019-10-23,130.0,51.0,59.0,56.0
2019-10-24,133.0,45.0,53.0,54.0
2019-10-25,124.0,54.0,59.0,54.0
2019-10-26,167.0,52.0,59.0,54.0
2019-10-27,158.0,51.0,57.0,55.0
2019-10-28,121.0,49.0,53.0,55.0
2019-10-29,124.0,44.0,49.0,55.0
2019-10-30,129.0,53.0,57.0,55.0
2019-10-31,159.0,53.0,63.0,56.0
2019-11-01,133.0,42.0,61.0,57.0
2019-11-02,126.0,54.0,61.0,57.0
2019-11-03,120.0,58.0,66.0,58.0
2019-11-04,118.0,52.0,60.0,59.0
2019-11-05,162.0,42.0,53.0,60.0
2019-11-06,133.0,47.0,61.0,60.0
2019-11-07,164.0,47.0,60.0,60.0
2019-11-08,137.0,53.0,61.0,60.0
2019-11-09,129.0,50.0,59.0,60.0
2019-11-10,142.0,39.0,48.0,57.0
2019-11-11,135.0,45.0,53.0,56.0
2019-11-12,129.0,53.0,63.0,57.0
2019-11-13,135.0,46.0,53.0,56.0
2019-11-14,122.0,53.0,57.0,56.0
2019-11-15,158.0,48.0,60.0,56.0
2019-11-16,184.0,63.0,62.0,56.0
2019-11-17,135.0,54.0,61.0,58.0
2019-11-18,,,,
2019-11-19,123.0,49.0,59.0,58.0
2019-11-20,139.0,55.0,59.0,59.0
2019-11-21,175.0,42.0,57.0,59.0
2019-11-22,166.0,52.0,58.0,59.0
2019-11-23,160.0,59.0,63.0,59.0
2019-11-24,134.0,51.0,62.0,59.0
2019-11-25,143.0,50.0,63.0,60.0
2019-11-26,116.0,63.0,65.0,61.0
2019-11-27,116.0,51.0,55.0,60.0
2019-11-28,158.0,55.0,57.0,60.0
2019-11-29,154.0,50.0,58.0,60.0
2019-11-30,127.0,41.0,45.0,57.0
2019-12-01,127.0,49.0,62.0,57.0
2019-12-02,128.0,58.0,64.0,58.0
2019-12-03,160.0,53.0,57.0,56.0
2019-12-04,109.0,43.0,46.0,55.0
2019-12-05,135.0,56.0,65.0,56.0
2019-12-06,152.0,54.0,61.0,57.0
2019-12-07,114.0,57.0,65.0,60.0
2019-12-08,141.0,60.0,67.0,60.0
2019-12-09,164.0,52.0,61.0,60.0
2019-12-10,116.0,49.0,61.0,60.0
2019-12-11,162.0,51.0,55.0,62.0
2019-12-12,143.0,45.0,61.0,61.0
2019-12-13,151.0,54.0,66.0,62.0
2019-12-14,127.0,51.0,63.0,62.0
2019-12-15,166.0,48.0,57.0,60.0
2019-12-16,113.0,51.0,60.0,60.0
2019-12-17,130.0,49.0,56.0,59.0
